[04-11-2015, 11:28:12] Phons Berkemeijer: ‎Phons Berkemeijer heeft deze groep gemaakt
[15-11-2016, 00:34:50] MAAP: ‎Phons Berkemeijer heeft je toegevoegd
[15-11-2016, 00:35:04] MAAP: ‎Berichten en oproepen worden end-to-end versleuteld. Alleen mensen in deze chat kunnen ze lezen, beluisteren of delen.
‎[16-11-2016, 18:58:50] Phons Berkemeijer: ‎afbeelding weggelaten
‎[18-11-2016, 10:57:18] Phons Berkemeijer: ‎afbeelding weggelaten
‎[21-11-2016, 11:03:49] Anja Berkemeijer: ‎afbeelding weggelaten
‎[02-12-2016, 22:33:41] Anthony van Tilburg: ‎afbeelding weggelaten
‎[04-12-2016, 20:18:01] Phons Berkemeijer: ‎afbeelding weggelaten
‎[22-12-2016, 23:52:15] Anthony van Tilburg: ‎afbeelding weggelaten
‎[01-01-2017, 00:05:48] Anja Berkemeijer: ‎afbeelding weggelaten
‎[01-01-2017, 00:29:59] Madeleine: ‎afbeelding weggelaten
‎[15-01-2017, 19:36:44] Anthony van Tilburg: ‎afbeelding weggelaten
‎[24-02-2017, 08:46:01] Anthony van Tilburg: ‎afbeelding weggelaten
‎[04-03-2017, 10:30:37] Madeleine: ‎afbeelding weggelaten
‎[04-03-2017, 10:52:10] Madeleine: ‎afbeelding weggelaten
[31-03-2017, 11:58:33] Phons Berkemeijer: ‎Locatie: https://maps.google.com/?q=51.378368,5.983653
‎[31-03-2017, 16:52:18] Anja Berkemeijer: ‎afbeelding weggelaten
‎[31-03-2017, 18:27:09] Anja Berkemeijer: ‎afbeelding weggelaten
‎[02-04-2017, 13:14:36] Phons Berkemeijer: ‎afbeelding weggelaten
‎[02-04-2017, 13:18:24] Anthony van Tilburg: ‎afbeelding weggelaten
‎[02-04-2017, 13:18:25] Anthony van Tilburg: ‎afbeelding weggelaten
‎[02-04-2017, 13:18:25] Anthony van Tilburg: ‎afbeelding weggelaten
‎[02-04-2017, 13:18:28] Phons Berkemeijer: ‎afbeelding weggelaten
‎[02-04-2017, 13:30:19] Anja Berkemeijer: ‎afbeelding weggelaten
‎[02-04-2017, 13:31:17] Madeleine: ‎afbeelding weggelaten
‎[02-05-2017, 13:33:22] Phons Berkemeijer: ‎afbeelding weggelaten
‎[27-07-2017, 16:20:29] Phons Berkemeijer: ‎afbeelding weggelaten
‎[27-07-2017, 16:20:30] Phons Berkemeijer: ‎afbeelding weggelaten
‎[27-07-2017, 19:18:25] Anthony van Tilburg: ‎afbeelding weggelaten
‎[28-07-2017, 16:57:30] Phons Berkemeijer: ‎afbeelding weggelaten
‎[28-07-2017, 16:59:42] Phons Berkemeijer: ‎afbeelding weggelaten
‎[29-07-2017, 14:23:22] Anthony van Tilburg: ‎afbeelding weggelaten
‎[29-07-2017, 18:58:31] Phons Berkemeijer: ‎afbeelding weggelaten
‎[30-07-2017, 09:35:21] Madeleine: ‎afbeelding weggelaten
‎[01-08-2017, 20:43:13] Anthony van Tilburg: ‎afbeelding weggelaten
‎[01-08-2017, 21:37:54] Madeleine: ‎afbeelding weggelaten
‎[01-08-2017, 21:37:57] Madeleine: ‎afbeelding weggelaten
‎[04-08-2017, 21:04:40] Anja Berkemeijer: ‎afbeelding weggelaten
‎[20-08-2017, 16:02:21] Phons Berkemeijer: ‎afbeelding weggelaten
‎[20-08-2017, 16:03:05] Phons Berkemeijer: ‎afbeelding weggelaten
‎[20-08-2017, 16:03:06] Phons Berkemeijer: ‎afbeelding weggelaten
‎[10-09-2017, 12:47:02] Phons Berkemeijer: ‎afbeelding weggelaten
‎[24-09-2017, 17:58:56] Anthony van Tilburg: ‎afbeelding weggelaten
‎[24-09-2017, 17:58:56] Anthony van Tilburg: ‎afbeelding weggelaten
‎[04-10-2017, 12:10:59] Anthony van Tilburg: ‎afbeelding weggelaten
‎[06-10-2017, 12:48:36] Anthony van Tilburg: ‎afbeelding weggelaten
‎[06-10-2017, 12:51:54] Anja Berkemeijer: ‎afbeelding weggelaten
‎[06-10-2017, 13:04:25] Phons Berkemeijer: ‎afbeelding weggelaten
‎[06-10-2017, 17:39:50] Madeleine: ‎afbeelding weggelaten
‎[08-10-2017, 13:34:46] Anja Berkemeijer: ‎afbeelding weggelaten
‎[09-10-2017, 14:08:51] Anja Berkemeijer: ‎afbeelding weggelaten
‎[09-10-2017, 14:13:37] Anja Berkemeijer: ‎afbeelding weggelaten
‎[13-10-2017, 17:43:10] Madeleine: ‎afbeelding weggelaten
‎[31-10-2017, 22:52:30] Anthony van Tilburg: ‎afbeelding weggelaten
‎[20-12-2017, 20:09:48] Phons Berkemeijer: ‎afbeelding weggelaten
‎[31-12-2017, 18:07:07] Madeleine: ‎GIF weggelaten
‎[08-02-2018, 10:59:19] Phons Berkemeijer: ‎afbeelding weggelaten
‎[18-03-2018, 21:31:37] Madeleine: ‎afbeelding weggelaten
‎[23-03-2018, 21:24:49] Phons Berkemeijer: ‎afbeelding weggelaten
‎[21-04-2018, 00:26:19] Anthony van Tilburg: ‎afbeelding weggelaten
‎[21-04-2018, 00:26:19] Anthony van Tilburg: ‎afbeelding weggelaten
[01-05-2018, 21:31:07] Phons Berkemeijer: ‎Dit bericht is verwijderd.
‎[13-05-2018, 15:00:52] Anthony van Tilburg: ‎afbeelding weggelaten
‎[20-05-2018, 11:24:21] Phons Berkemeijer: ‎afbeelding weggelaten
‎[20-05-2018, 11:32:32] Phons Berkemeijer: ‎afbeelding weggelaten
‎[20-05-2018, 11:36:53] Anthony van Tilburg: ‎afbeelding weggelaten
‎[20-05-2018, 12:46:55] Phons Berkemeijer: ‎afbeelding weggelaten
‎[24-05-2018, 21:40:52] Phons Berkemeijer: ‎afbeelding weggelaten
‎[24-05-2018, 21:48:44] Anthony van Tilburg: ‎afbeelding weggelaten
‎[25-05-2018, 15:15:06] Phons Berkemeijer: ‎afbeelding weggelaten
‎[25-05-2018, 17:44:03] Anja Berkemeijer: ‎afbeelding weggelaten
‎[25-05-2018, 17:47:08] Madeleine: ‎afbeelding weggelaten
‎[25-05-2018, 18:29:28] Phons Berkemeijer: ‎afbeelding weggelaten
‎[26-05-2018, 10:33:59] Phons Berkemeijer: ‎afbeelding weggelaten
‎[26-05-2018, 16:30:48] Madeleine: ‎afbeelding weggelaten
‎[26-05-2018, 17:08:51] Phons Berkemeijer: ‎afbeelding weggelaten
‎[26-05-2018, 17:42:02] Phons Berkemeijer: ‎afbeelding weggelaten
‎[26-05-2018, 17:47:16] Madeleine: ‎afbeelding weggelaten
‎[26-05-2018, 18:16:26] Phons Berkemeijer: ‎afbeelding weggelaten
‎[26-05-2018, 18:19:51] Madeleine: ‎afbeelding weggelaten
‎[26-05-2018, 18:52:19] Madeleine: ‎afbeelding weggelaten
‎[26-05-2018, 20:46:38] Anja Berkemeijer: ‎afbeelding weggelaten
‎[26-05-2018, 20:46:54] Anja Berkemeijer: ‎afbeelding weggelaten
‎[26-05-2018, 20:47:08] Anja Berkemeijer: ‎afbeelding weggelaten
‎[26-05-2018, 20:47:22] Anja Berkemeijer: ‎afbeelding weggelaten
‎[26-05-2018, 20:47:36] Anja Berkemeijer: ‎afbeelding weggelaten
‎[26-05-2018, 20:47:55] Anja Berkemeijer: ‎afbeelding weggelaten
‎[27-05-2018, 14:10:45] Anja Berkemeijer: ‎afbeelding weggelaten
‎[27-05-2018, 16:05:13] Anja Berkemeijer: ‎afbeelding weggelaten
‎[27-05-2018, 16:06:13] Anja Berkemeijer: ‎afbeelding weggelaten
‎[27-05-2018, 17:22:39] Anja Berkemeijer: ‎afbeelding weggelaten
‎[28-05-2018, 14:17:47] Phons Berkemeijer: ‎afbeelding weggelaten
‎[28-05-2018, 15:01:27] Phons Berkemeijer: ‎afbeelding weggelaten
‎[28-05-2018, 18:05:31] Phons Berkemeijer: ‎afbeelding weggelaten
‎[28-05-2018, 18:06:18] Madeleine: ‎afbeelding weggelaten
‎[28-05-2018, 18:09:55] Phons Berkemeijer: ‎afbeelding weggelaten
‎[28-05-2018, 18:22:08] Phons Berkemeijer: ‎afbeelding weggelaten
‎[28-05-2018, 18:24:38] Madeleine: ‎afbeelding weggelaten
‎[29-05-2018, 00:43:00] Madeleine: ‎afbeelding weggelaten
‎[29-05-2018, 00:43:00] Madeleine: ‎afbeelding weggelaten
‎[29-05-2018, 00:43:00] Madeleine: ‎afbeelding weggelaten
‎[29-05-2018, 00:43:13] Madeleine: ‎afbeelding weggelaten
‎[29-05-2018, 00:43:28] Madeleine: ‎afbeelding weggelaten
‎[29-05-2018, 00:43:29] Madeleine: ‎afbeelding weggelaten
‎[21-06-2018, 18:22:36] Anja Berkemeijer: ‎afbeelding weggelaten
‎[12-07-2018, 17:20:12] Phons Berkemeijer: ‎afbeelding weggelaten
‎[05-08-2018, 12:24:15] Phons Berkemeijer: ‎afbeelding weggelaten
‎[05-08-2018, 12:36:12] Madeleine: ‎afbeelding weggelaten
‎[09-08-2018, 13:32:17] Madeleine: ‎afbeelding weggelaten
‎[12-08-2018, 19:04:40] Madeleine: ‎afbeelding weggelaten
‎[18-08-2018, 21:17:29] Anthony van Tilburg: ‎afbeelding weggelaten
‎[18-08-2018, 21:20:51] Anthony van Tilburg: ‎afbeelding weggelaten
‎[18-08-2018, 21:23:13] Anthony van Tilburg: ‎afbeelding weggelaten
‎[20-08-2018, 17:46:37] Anja Berkemeijer: ‎afbeelding weggelaten
‎[27-08-2018, 06:50:07] Phons Berkemeijer: ‎afbeelding weggelaten
‎[02-09-2018, 10:53:27] Phons Berkemeijer: ‎afbeelding weggelaten
‎[18-09-2018, 19:37:24] Phons Berkemeijer: ‎afbeelding weggelaten
‎[18-09-2018, 19:45:03] Phons Berkemeijer: ‎afbeelding weggelaten
‎[21-09-2018, 08:48:10] Anthony van Tilburg: ‎afbeelding weggelaten
‎[21-09-2018, 08:48:11] Anthony van Tilburg: ‎afbeelding weggelaten
‎[21-09-2018, 08:48:11] Anthony van Tilburg: ‎afbeelding weggelaten
‎[04-10-2018, 13:26:02] Anthony van Tilburg: ‎afbeelding weggelaten
‎[23-10-2018, 09:49:34] Phons Berkemeijer: ‎afbeelding weggelaten
‎[26-10-2018, 20:18:30] Madeleine: ‎afbeelding weggelaten
‎[26-10-2018, 23:35:51] Phons Berkemeijer: ‎afbeelding weggelaten
‎[28-10-2018, 22:19:03] Madeleine: ‎afbeelding weggelaten
‎[29-10-2018, 10:42:07] Madeleine: ‎afbeelding weggelaten
‎[16-11-2018, 15:28:20] Phons Berkemeijer: ‎afbeelding weggelaten
‎[16-11-2018, 15:28:43] Phons Berkemeijer: ‎afbeelding weggelaten
‎[21-11-2018, 23:47:52] Phons Berkemeijer: ‎afbeelding weggelaten
‎[09-12-2018, 23:37:16] Phons Berkemeijer: ‎afbeelding weggelaten
‎[09-12-2018, 23:41:00] Madeleine: ‎afbeelding weggelaten
‎[11-01-2019, 22:56:37] Phons Berkemeijer: ‎afbeelding weggelaten
‎[10-02-2019, 21:32:20] Madeleine: ‎afbeelding weggelaten
‎[10-02-2019, 21:32:49] Madeleine: ‎afbeelding weggelaten
‎[10-02-2019, 21:34:46] Anja Berkemeijer: ‎sticker weggelaten
‎[17-02-2019, 11:44:23] Anja Berkemeijer: ‎afbeelding weggelaten
‎[24-02-2019, 19:36:08] Anthony van Tilburg: ‎afbeelding weggelaten
‎[25-02-2019, 21:35:18] Madeleine: ‎afbeelding weggelaten
‎[31-03-2019, 13:00:35] Anthony van Tilburg: ‎afbeelding weggelaten
[07-04-2019, 19:35:25] Phons Berkemeijer: ‎Dit bericht is verwijderd.
‎[31-05-2019, 19:22:46] Madeleine: ‎afbeelding weggelaten
‎[31-05-2019, 19:43:12] Phons Berkemeijer: ‎afbeelding weggelaten
‎[31-05-2019, 20:42:23] Madeleine: ‎afbeelding weggelaten
‎[07-06-2019, 13:46:02] Anja Berkemeijer: ‎afbeelding weggelaten
‎[07-06-2019, 13:52:21] Madeleine: ‎afbeelding weggelaten
‎[07-06-2019, 15:09:25] Phons Berkemeijer: ‎afbeelding weggelaten
‎[07-06-2019, 15:11:21] Madeleine: ‎afbeelding weggelaten
‎[07-06-2019, 15:13:02] Phons Berkemeijer: ‎afbeelding weggelaten
‎[07-06-2019, 15:20:32] Madeleine: ‎afbeelding weggelaten
‎[07-06-2019, 16:20:33] Anja Berkemeijer: ‎afbeelding weggelaten
‎[07-06-2019, 16:30:03] Anja Berkemeijer: ‎afbeelding weggelaten
‎[08-06-2019, 14:44:55] Anja Berkemeijer: ‎afbeelding weggelaten
‎[08-06-2019, 15:14:08] Phons Berkemeijer: ‎afbeelding weggelaten
‎[10-06-2019, 13:55:01] Phons Berkemeijer: ‎afbeelding weggelaten
‎[10-06-2019, 14:37:55] Anja Berkemeijer: ‎afbeelding weggelaten
‎[10-06-2019, 17:26:00] Anja Berkemeijer: ‎afbeelding weggelaten
‎[11-06-2019, 17:46:06] Madeleine: ‎afbeelding weggelaten
‎[11-06-2019, 18:24:06] Anja Berkemeijer: ‎afbeelding weggelaten
‎[22-07-2019, 17:53:33] Phons Berkemeijer: ‎afbeelding weggelaten
[04-08-2019, 13:39:20] Phons Berkemeijer: ‎Phons Berkemeijer heeft de groepsafbeelding gewijzigd
[12-08-2019, 12:38:17] Anja Berkemeijer: Obon ipv gasly 🙈
Ja dat gaat het verschil maken😏
[12-08-2019, 14:06:04] Madeleine: We zullen het zien
[12-08-2019, 14:11:41] Anja Berkemeijer: Nou denk niet dat Max denkt yes!
‎[13-08-2019, 02:18:15] Anthony van Tilburg: ‎video weggelaten
[13-08-2019, 07:51:55] Anja Berkemeijer: Fijne vakantie. 
Zie geen regen?
[13-08-2019, 08:00:53] Phons Berkemeijer: Fijne vakantie!
[13-08-2019, 09:40:53] Anja Berkemeijer: Krijgen we nog zo'n foto in kledij?
Net zoals in Volendam maar dan anders😉
[13-08-2019, 11:00:29] Anthony van Tilburg: Negative!
[13-08-2019, 11:38:57] Anja Berkemeijer: Wat jammer!
[14-08-2019, 12:06:00] Anja Berkemeijer: En hoe is het daar?
[14-08-2019, 12:06:06] Anja Berkemeijer: En het weer?
‎[14-08-2019, 12:08:36] Anthony van Tilburg: ‎afbeelding weggelaten
[14-08-2019, 12:09:16] Phons Berkemeijer: Fijn. Leuke foto
[14-08-2019, 12:09:28] Anthony van Tilburg: Vandaag wel wat druppels, maar we zitten droog in de auto!
[14-08-2019, 12:13:18] Anja Berkemeijer: Fijn
Leuke foto, ik zie dat je aan het genieten bent!
‎[16-08-2019, 22:30:08] Anthony van Tilburg: ‎afbeelding weggelaten
[16-08-2019, 22:31:27] Anja Berkemeijer: Mooi
Ziet er super uit!
[17-08-2019, 13:05:32] Anja Berkemeijer: Het weer is hier schots, jullie daar stralende ☀?
[17-08-2019, 15:26:27] Madeleine: Nou nee niet stralend.  🌦van alles wat
[17-08-2019, 15:28:24] Anja Berkemeijer: Zeer gevarieerd dus.
[17-08-2019, 18:46:29] Madeleine: Jep
‎[19-08-2019, 19:52:23] Madeleine: ‎afbeelding weggelaten
[19-08-2019, 19:56:37] Madeleine: Vandaag naar de top gelopen.  Een hike van 4 uur. Maar je wordt betoond met een prachtig uitzicht. Clachnaben.
[19-08-2019, 20:00:02] Anja Berkemeijer: Mooi!
Slechts 4 uur?
Heen en terug?
Of een enkeltje
[19-08-2019, 20:01:04] Madeleine: Heen en  terug.  Kapot makerij🥴. Ben wel aan mijn stappen gekomen vandaag🤭
